Subject,Relationship,Object
WWP Talk (Wounded Warrior Project),main_services_are,mental health care
WWP Talk (Wounded Warrior Project),serves,active duty
WWP Talk (Wounded Warrior Project),serves,national guard
WWP Talk (Wounded Warrior Project),serves,veterans
WWP Talk (Wounded Warrior Project),phone_number_is,877-832-6997
WWP Talk (Wounded Warrior Project),website_is,https://www.woundedwarriorproject.org/programs/wwp-talk
WWP Talk (Wounded Warrior Project),eligibility_is,"Must have suffered a physical or mental injury, wound, or illness during your military service on or after September 11, 2001, or be a registered family service member and/or caregiver to an individual that has."
WWP Talk (Wounded Warrior Project),eligibility_is,"WWP Talk is available to all warriors, family members, and caregivers registered with WWP. It’s most appropriate for those who are not experiencing a crisis and who are ready to discuss emotional issues and set goals leading to improved mental health."
WWP Talk (Wounded Warrior Project),eligibility_is,"WWP Talk provides nonclinical emotional support and isn’t meant to take the place of any clinical treatment, therapy, or counseling you may be receiving."
WWP Talk (Wounded Warrior Project),has_an_availability_status_of,available
WWP Talk (Wounded Warrior Project),description_is,"Since 2013, the WWP Talk team has provided a listening ear and a safe, nonjudgmental outlet for warriors and their family members. Our team is committed to you and will collaborate set goals aimed at processing and overcoming challenges. During your participation, you’ll build resilience, develop coping skills, reduce stress levels, and achieve goals that will improve your quality of life. Many who participate in the program also develop improved relationships with friends and loved ones. Our goal-setting model is not only beneficial while participating in the program but can be applied to daily life situations well after you have completed the program. WWP Talk is a free nonclinical, telephonic, emotional support and goal-setting program. The program helps both warriors and family members plan individualized paths toward personal growth. Participants work one-on-one with a dedicated team member during weekly emotional support calls. Together, they set tangible SMART goals and develop skills that lead to positive changes, like increased resilience, improved psychological well-being, and improved overall quality of life. To join the program, you must first register with us. For more information or to sign up for the program, call our Resource Center at 888.WWP.ALUM (997.2586) or 904.405.1213."
WWP Talk (Wounded Warrior Project),speaks,English
WWP Talk (Wounded Warrior Project),costs,Free
WWP Talk (Wounded Warrior Project),has_Google_Reviews,FALSE
WWP Talk (Wounded Warrior Project),facebook_is,https://www.facebook.com/wwp/
WWP Talk (Wounded Warrior Project),twitter_is,https://www.twitter.com/@wwp
WWP Talk (Wounded Warrior Project),covers,This program covers residents of All US states and territories.
WWP Talk (Wounded Warrior Project),24hours_status_is,FALSE
WWP Talk (Wounded Warrior Project),Monday's_time_open,Register
WWP Talk (Wounded Warrior Project),Tuesday's_time_open,Register
WWP Talk (Wounded Warrior Project),Wednesday's_time_open,Register
WWP Talk (Wounded Warrior Project),Thursday's_time_open,Register
WWP Talk (Wounded Warrior Project),Friday's_time_open,Register
WWP Talk (Wounded Warrior Project),Saturday's_time_open,Register
WWP Talk (Wounded Warrior Project),Sunday's_time_open,Register
WWP Talk (Wounded Warrior Project),has_a_Google_Rating_of,0
WWP Talk (Wounded Warrior Project),offers,Support
Women Vets On Point (U.S. VETS - United States Veterans Initiative),main_services_are,understand mental health
Women Vets On Point (U.S. VETS - United States Veterans Initiative),main_services_are,mental health care
Women Vets On Point (U.S. VETS - United States Veterans Initiative),serves,adults
Women Vets On Point (U.S. VETS - United States Veterans Initiative),serves,young adults
Women Vets On Point (U.S. VETS - United States Veterans Initiative),serves,teens
Women Vets On Point (U.S. VETS - United States Veterans Initiative),serves,seniors
Women Vets On Point (U.S. VETS - United States Veterans Initiative),serves,veterans
Women Vets On Point (U.S. VETS - United States Veterans Initiative),serves,female
Women Vets On Point (U.S. VETS - United States Veterans Initiative),phone_number_is,213-335-5432
Women Vets On Point (U.S. VETS - United States Veterans Initiative),website_is,https://womenvetsonpoint.org/counseling-case-management/
Women Vets On Point (U.S. VETS - United States Veterans Initiative),has_an_availability_status_of,available
Women Vets On Point (U.S. VETS - United States Veterans Initiative),description_is,"Women Vets on Point is an independent, not-for-profit program designed and informed by women veterans to serve critical needs and barriers to mental health care after military service. This program connects women veterans and their families to employment, housing and other resources as well as specialized mental health services for individuals and families.This program provides:- One-on-One Help Navigating the System- Case Management- Understand Mental Health- Help Find Housing- Help Find WorkWomen Vets on Point supports women who have served by finding solutions to their unique needs. Please reach out by phone, email, or via the online chat on the website to connect to services."
Women Vets On Point (U.S. VETS - United States Veterans Initiative),speaks,English
Women Vets On Point (U.S. VETS - United States Veterans Initiative),costs,Free
Women Vets On Point (U.S. VETS - United States Veterans Initiative),has_Google_Reviews,FALSE
Women Vets On Point (U.S. VETS - United States Veterans Initiative),facebook_is,https://www.facebook.com/usvetsinc
Women Vets On Point (U.S. VETS - United States Veterans Initiative),twitter_is,https://www.twitter.com/@usvetsinc
Women Vets On Point (U.S. VETS - United States Veterans Initiative),covers,This program covers residents of All US states and territories.
Women Vets On Point (U.S. VETS - United States Veterans Initiative),24hours_status_is,FALSE
Women Vets On Point (U.S. VETS - United States Veterans Initiative),Monday's_time_open,11:00AM - 19:00PM
Women Vets On Point (U.S. VETS - United States Veterans Initiative),Tuesday's_time_open,11:00AM - 19:00PM
Women Vets On Point (U.S. VETS - United States Veterans Initiative),Wednesday's_time_open,11:00AM - 19:00PM
Women Vets On Point (U.S. VETS - United States Veterans Initiative),Thursday's_time_open,11:00AM - 19:00PM
Women Vets On Point (U.S. VETS - United States Veterans Initiative),Friday's_time_open,11:00AM - 19:00PM
Women Vets On Point (U.S. VETS - United States Veterans Initiative),Saturday's_time_open,Closed
Women Vets On Point (U.S. VETS - United States Veterans Initiative),Sunday's_time_open,Closed
Women Vets On Point (U.S. VETS - United States Veterans Initiative),has_a_Google_Rating_of,0
Women Vets On Point (U.S. VETS - United States Veterans Initiative),offers,Mental Health
Wellness Program (iPrevail),main_services_are,understand mental health
Wellness Program (iPrevail),main_services_are,mental health care
Wellness Program (iPrevail),main_services_are,support network
Wellness Program (iPrevail),main_services_are,peer support
Wellness Program (iPrevail),main_services_are,support groups
Wellness Program (iPrevail),main_services_are,virtual support
Wellness Program (iPrevail),serves,anyone in need
Wellness Program (iPrevail),serves,adults
Wellness Program (iPrevail),serves,young adults
Wellness Program (iPrevail),serves,teens
Wellness Program (iPrevail),serves,seniors
Wellness Program (iPrevail),serves,benefit recipients
Wellness Program (iPrevail),serves,limited english
Wellness Program (iPrevail),serves,depression
Wellness Program (iPrevail),serves,ptsd
Wellness Program (iPrevail),serves,all mental health
Wellness Program (iPrevail),serves,substance dependency
Wellness Program (iPrevail),website_is,https://www.iprevail.com/
Wellness Program (iPrevail),eligibility_is,Cigna insurance carriers can access this program for free.
Wellness Program (iPrevail),eligibility_is,This program helps people who are older than 12 years old.
Wellness Program (iPrevail),eligibility_is,Must have parental consent if between the ages of 13 and 17.
Wellness Program (iPrevail),has_an_availability_status_of,available
Wellness Program (iPrevail),description_is,"iPrevail offers support on demand from any internet-enabled device. Let a coach know what challenges you’re facing, how you want to receive support and they will find the perfect program for you.This program provides:- Peer-coaching- Mental health education and resources- Support groupsPrevail does not provide clinical, diagnostic or medical advice or procedures.There is a 24-hour free trial of the peer coaching chat service. Users are offered a rewards program for using this service, working through their program, and chatting with the online peer support coaches. Reward points can be traded in for things such as Amazon gift cards."
Wellness Program (iPrevail),speaks,English
Wellness Program (iPrevail),speaks,Spanish
Wellness Program (iPrevail),costs,Reduced Cost
Wellness Program (iPrevail),has_Google_Reviews,FALSE
Wellness Program (iPrevail),facebook_is,https://www.facebook.com/PrevailHealth
Wellness Program (iPrevail),twitter_is,https://www.twitter.com/@iPrevailHealth
Wellness Program (iPrevail),covers,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY."
Wellness Program (iPrevail),24hours_status_is,TRUE
Wellness Program (iPrevail),has_a_Google_Rating_of,0
Wellness Program (iPrevail),offers,"Peer Coaching, Support Group"
Virtual Sacred Circles (E-Motion Inc.),main_services_are,bereavement
Virtual Sacred Circles (E-Motion Inc.),main_services_are,virtual support
Virtual Sacred Circles (E-Motion Inc.),serves,all ages
Virtual Sacred Circles (E-Motion Inc.),serves,grieving
Virtual Sacred Circles (E-Motion Inc.),website_is,https://www.emotion-mc.org/sacred-circles
Virtual Sacred Circles (E-Motion Inc.),eligibility_is,This program serves those who are grieving the loss of a person in their life.
Virtual Sacred Circles (E-Motion Inc.),has_an_availability_status_of,available
Virtual Sacred Circles (E-Motion Inc.),description_is,"Sacred Circles are an opportunity for grievers to gather together to honor and turn toward a life-disrupting loss. These monthly circles, held via Zoom, are free and open to anyone who is looking for a brief but powerful encounter with their grief.This program provides:- Virtual grieving supportThis program is offered on the first Wednesday of every month. They offer two virtual circle times to accommodate different time zones - 9:04 a.m. EST and 9:04 a.m. PST. Their circles are intentionally short, roughly 5-10 minutes, and include a gently guided facilitation that centers on their values and on the power of movement, community and ritual.Please sign up for the appropriate time on their website based on your time zone. Sign up is required and entry will close at the start of the circle."
Virtual Sacred Circles (E-Motion Inc.),speaks,English
Virtual Sacred Circles (E-Motion Inc.),costs,Free
Virtual Sacred Circles (E-Motion Inc.),has_Google_Reviews,FALSE
Virtual Sacred Circles (E-Motion Inc.),facebook_is,https://www.facebook.com/people/E-Motion-Inc/61558253593291/
Virtual Sacred Circles (E-Motion Inc.),covers,This program covers residents of the following states: CA and MA.
Virtual Sacred Circles (E-Motion Inc.),24hours_status_is,FALSE
Virtual Sacred Circles (E-Motion Inc.),Monday's_time_open,Closed
Virtual Sacred Circles (E-Motion Inc.),Tuesday's_time_open,Closed
Virtual Sacred Circles (E-Motion Inc.),Wednesday's_time_open,9:04AM or 12:04PM PST
Virtual Sacred Circles (E-Motion Inc.),Thursday's_time_open,Closed
Virtual Sacred Circles (E-Motion Inc.),Friday's_time_open,Closed
Virtual Sacred Circles (E-Motion Inc.),Saturday's_time_open,Closed
Virtual Sacred Circles (E-Motion Inc.),Sunday's_time_open,Closed
Virtual Sacred Circles (E-Motion Inc.),has_a_Google_Rating_of,0
Virtual Sacred Circles (E-Motion Inc.),offers,Virtual Support Group
Virtual Peer Coaching (Face It TOGETHER),main_services_are,addiction & recovery
Virtual Peer Coaching (Face It TOGETHER),main_services_are,substance abuse counseling
Virtual Peer Coaching (Face It TOGETHER),main_services_are,peer recovery coaching
Virtual Peer Coaching (Face It TOGETHER),main_services_are,navigating the system
Virtual Peer Coaching (Face It TOGETHER),main_services_are,one-on-one support
Virtual Peer Coaching (Face It TOGETHER),main_services_are,peer support
Virtual Peer Coaching (Face It TOGETHER),main_services_are,virtual support
Virtual Peer Coaching (Face It TOGETHER),serves,adults
Virtual Peer Coaching (Face It TOGETHER),serves,young adults
Virtual Peer Coaching (Face It TOGETHER),serves,teens
Virtual Peer Coaching (Face It TOGETHER),serves,seniors
Virtual Peer Coaching (Face It TOGETHER),serves,substance dependency
Virtual Peer Coaching (Face It TOGETHER),phone_number_is,855-539-9375
Virtual Peer Coaching (Face It TOGETHER),website_is,https://www.wefaceittogether.org
Virtual Peer Coaching (Face It TOGETHER),eligibility_is,This program helps people who are older than 17 years old
Virtual Peer Coaching (Face It TOGETHER),has_an_availability_status_of,available
Virtual Peer Coaching (Face It TOGETHER),description_is,"At Face It TOGETHER, we believe people impacted by addiction, including their loved ones, deserve the same dignity and respect as anyone else affected by a serious illness. Our expert coaches help you discover your path to wellness. If you're a loved one, or struggling with the disease, we're with you every step of the way. Our professional peer coaches help guide you through the challenges you're facing around addiction. Your coach is your wellness partner, providing knowledge, support and skills – or accountability – depending on your needs. We focus on improving every aspect of your life – not just the part that involves drinking or using.You'll receive high-quality, confidential and non-judgmental support from our expert coaches:- Assessments of current strengths, challenges and risks- Personalized addiction management plan and action steps- Weekly coaching sessions- Specialized support for people with the disease and loved ones- Data to track your progress- Convenient options including coaching by video, phone or in person- Unlimited messaging with coach- Connection to resources to support addiction wellness- Navigation to treatment and clinical care as neededFace It TOGETHER has a number of sponsored memberships available for those in financial need. To get started, call or text us at 855-539-9375."
Virtual Peer Coaching (Face It TOGETHER),speaks,English
Virtual Peer Coaching (Face It TOGETHER),costs,Free
Virtual Peer Coaching (Face It TOGETHER),has_Google_Reviews,FALSE
Virtual Peer Coaching (Face It TOGETHER),facebook_is,https://www.facebook.com/wefaceittogether/
Virtual Peer Coaching (Face It TOGETHER),covers,This program covers residents of All US states and territories.
Virtual Peer Coaching (Face It TOGETHER),24hours_status_is,FALSE
Virtual Peer Coaching (Face It TOGETHER),Monday's_time_open,Register
Virtual Peer Coaching (Face It TOGETHER),Tuesday's_time_open,Register
Virtual Peer Coaching (Face It TOGETHER),Wednesday's_time_open,Register
Virtual Peer Coaching (Face It TOGETHER),Thursday's_time_open,Register
Virtual Peer Coaching (Face It TOGETHER),Friday's_time_open,Register
Virtual Peer Coaching (Face It TOGETHER),Saturday's_time_open,Register
Virtual Peer Coaching (Face It TOGETHER),Sunday's_time_open,Register
Virtual Peer Coaching (Face It TOGETHER),has_a_Google_Rating_of,0
Virtual Peer Coaching (Face It TOGETHER),offers,Virtual Peer Coaching
Virtual Counseling (Family Assessment Counseling & Education Services),main_services_are,counseling
Virtual Counseling (Family Assessment Counseling & Education Services),main_services_are,mental health care
Virtual Counseling (Family Assessment Counseling & Education Services),main_services_are,family counseling
Virtual Counseling (Family Assessment Counseling & Education Services),main_services_are,individual counseling
Virtual Counseling (Family Assessment Counseling & Education Services),serves,adults
Virtual Counseling (Family Assessment Counseling & Education Services),serves,young adults
Virtual Counseling (Family Assessment Counseling & Education Services),serves,teens
Virtual Counseling (Family Assessment Counseling & Education Services),serves,school-aged children
Virtual Counseling (Family Assessment Counseling & Education Services),serves,preschoolers
Virtual Counseling (Family Assessment Counseling & Education Services),serves,toddlers
Virtual Counseling (Family Assessment Counseling & Education Services),serves,seniors
Virtual Counseling (Family Assessment Counseling & Education Services),serves,individuals
Virtual Counseling (Family Assessment Counseling & Education Services),serves,families
Virtual Counseling (Family Assessment Counseling & Education Services),serves,low-income
Virtual Counseling (Family Assessment Counseling & Education Services),serves,uninsured
Virtual Counseling (Family Assessment Counseling & Education Services),serves,all mental health
Virtual Counseling (Family Assessment Counseling & Education Services),phone_number_is,714-447-9024
Virtual Counseling (Family Assessment Counseling & Education Services),website_is,https://www.facescounseling.org/services-5
Virtual Counseling (Family Assessment Counseling & Education Services),eligibility_is,Must meet income requirements for sliding scale fees.
Virtual Counseling (Family Assessment Counseling & Education Services),has_an_availability_status_of,available
Virtual Counseling (Family Assessment Counseling & Education Services),description_is,"FACES Virtual Counseling Services help people learn how to deal more effectively with situations in their lives such as depression, addiction and substance abuse, stress, problems with self- esteem, grief, issues related to mental and emotional health, and relational problems.This program provides:- Telehealth appointments- Individual Counseling- Family CounselingThis program offer services on a sliding-fee scale, dependent on income; with certain programs, our services are free of charge."
Virtual Counseling (Family Assessment Counseling & Education Services),speaks,English
Virtual Counseling (Family Assessment Counseling & Education Services),costs,Sliding Scale
Virtual Counseling (Family Assessment Counseling & Education Services),has_Google_Reviews,FALSE
Virtual Counseling (Family Assessment Counseling & Education Services),facebook_is,https://www.facebook.com/FACES4safekids
Virtual Counseling (Family Assessment Counseling & Education Services),twitter_is,https://www.twitter.com/@faces4safekids
Virtual Counseling (Family Assessment Counseling & Education Services),covers,This program covers residents of the following states: CA.
Virtual Counseling (Family Assessment Counseling & Education Services),24hours_status_is,FALSE
Virtual Counseling (Family Assessment Counseling & Education Services),Monday's_time_open,Sign Up
Virtual Counseling (Family Assessment Counseling & Education Services),Tuesday's_time_open,Sign Up
Virtual Counseling (Family Assessment Counseling & Education Services),Wednesday's_time_open,Sign Up
Virtual Counseling (Family Assessment Counseling & Education Services),Thursday's_time_open,Sign Up
Virtual Counseling (Family Assessment Counseling & Education Services),Friday's_time_open,Sign Up
Virtual Counseling (Family Assessment Counseling & Education Services),Saturday's_time_open,Sign Up
Virtual Counseling (Family Assessment Counseling & Education Services),Sunday's_time_open,Sign Up
Virtual Counseling (Family Assessment Counseling & Education Services),has_a_Google_Rating_of,0
Virtual Counseling (Family Assessment Counseling & Education Services),offers,Virtual Counseling
Victim Services (SAFE Family Justice Center),main_services_are,counseling
Victim Services (SAFE Family Justice Center),main_services_are,financial assistance
Victim Services (SAFE Family Justice Center),main_services_are,navigating the system
Victim Services (SAFE Family Justice Center),main_services_are,physical safety
Victim Services (SAFE Family Justice Center),main_services_are,support groups
Victim Services (SAFE Family Justice Center),main_services_are,advocacy & legal aid
Victim Services (SAFE Family Justice Center),serves,all ages
Victim Services (SAFE Family Justice Center),serves,individuals
Victim Services (SAFE Family Justice Center),serves,families
Victim Services (SAFE Family Justice Center),serves,with children
Victim Services (SAFE Family Justice Center),serves,domestic violence survivors
Victim Services (SAFE Family Justice Center),serves,human trafficking survivors
Victim Services (SAFE Family Justice Center),serves,sexual assault survivors
Victim Services (SAFE Family Justice Center),phone_number_is,951-955-6100
Victim Services (SAFE Family Justice Center),website_is,https://safefjc.org/services/
Victim Services (SAFE Family Justice Center),is_located_at,"3900 Orange Street, Riverside, CA 92501"
Victim Services (SAFE Family Justice Center),url_is_located_at,"https://www.google.com/maps/?q=3900+Orange+Street,+Riverside,+CA+92501/"
Victim Services (SAFE Family Justice Center),eligibility_is,"This program serves children, youth and families, who have experienced, or are at risk of abuse and violence."
Victim Services (SAFE Family Justice Center),has_an_availability_status_of,available
Victim Services (SAFE Family Justice Center),description_is,"Family Justice Center provides protection and prevention services toward ensuring family justice. Clients can expect a one-on-one private consultation with an experienced advocate, who will serve as their guide to getting connected with a variety of available resources.This program provides: - Personalized safety planning- Assistance with applying for restraining and protective orders- Help completing the background process- Relocation assistance- Emergency assistance- Family law legal assistance- Counseling for you and/or your children- Help applying for California Victim Compensation Program- Education and support groups- Police Activities League and Youth Programs- Help navigating the criminal justice system- Information about your rights as a crime victim- Court support- Restitution assistance"
Victim Services (SAFE Family Justice Center),speaks,English
Victim Services (SAFE Family Justice Center),speaks,Spanish
Victim Services (SAFE Family Justice Center),costs,Free
Victim Services (SAFE Family Justice Center),has_Google_Reviews,TRUE
Victim Services (SAFE Family Justice Center),covers,"This program covers residents of the following counties: Riverside County, CA."
Victim Services (SAFE Family Justice Center),latitude_is,33.9800766
Victim Services (SAFE Family Justice Center),longitude_is,-117.373807
Victim Services (SAFE Family Justice Center),zipcode_is,92501.0
Victim Services (SAFE Family Justice Center),24hours_status_is,FALSE
Victim Services (SAFE Family Justice Center),Monday's_time_open,12:00PM - 19:00 PM
Victim Services (SAFE Family Justice Center),Tuesday's_time_open,12:00PM - 19:00 PM
Victim Services (SAFE Family Justice Center),Wednesday's_time_open,12:00PM - 19:00 PM
Victim Services (SAFE Family Justice Center),Thursday's_time_open,12:00PM - 19:00 PM
Victim Services (SAFE Family Justice Center),Friday's_time_open,12:00PM - 19:00 PM
Victim Services (SAFE Family Justice Center),Saturday's_time_open,Closed
Victim Services (SAFE Family Justice Center),Sunday's_time_open,Closed
Victim Services (SAFE Family Justice Center),has_a_Google_Rating_of,4.4
Victim Services (SAFE Family Justice Center),offers,Support
Veterans Crisis Line (Operation Red Wings Foundation),main_services_are,specialized therapy
Veterans Crisis Line (Operation Red Wings Foundation),main_services_are,mental health care
Veterans Crisis Line (Operation Red Wings Foundation),main_services_are,support network
Veterans Crisis Line (Operation Red Wings Foundation),serves,adults 18+
Veterans Crisis Line (Operation Red Wings Foundation),serves,active duty
Veterans Crisis Line (Operation Red Wings Foundation),serves,national guard
Veterans Crisis Line (Operation Red Wings Foundation),serves,veterans
Veterans Crisis Line (Operation Red Wings Foundation),serves,families
Veterans Crisis Line (Operation Red Wings Foundation),serves,with children
Veterans Crisis Line (Operation Red Wings Foundation),serves,caregivers
Veterans Crisis Line (Operation Red Wings Foundation),serves,spouses
Veterans Crisis Line (Operation Red Wings Foundation),serves,brain injury
Veterans Crisis Line (Operation Red Wings Foundation),serves,ptsd
Veterans Crisis Line (Operation Red Wings Foundation),phone_number_is,988
Veterans Crisis Line (Operation Red Wings Foundation),website_is,https://orwfoundation.org/
Veterans Crisis Line (Operation Red Wings Foundation),eligibility_is,Our Post-traumatic Growth program is for active-duty service members and veterans who have deployed to a combat zone.
Veterans Crisis Line (Operation Red Wings Foundation),eligibility_is,A DD214 or other Proof of Service is needed
Veterans Crisis Line (Operation Red Wings Foundation),eligibility_is,The veteran will be required to provide a signed form from a healthcare provider that states that the LSF Program is appropriate for them.
Veterans Crisis Line (Operation Red Wings Foundation),eligibility_is,Applicants must be willing and able to interact in a group environment and to have a roommate.
Veterans Crisis Line (Operation Red Wings Foundation),eligibility_is,Applicants must be able to administer their own medication if applicable.
Veterans Crisis Line (Operation Red Wings Foundation),eligibility_is,Any applicants who have experienced substance misuse or abuse must have at least six months of recovery prior to attending the program.
Veterans Crisis Line (Operation Red Wings Foundation),has_an_availability_status_of,available
Veterans Crisis Line (Operation Red Wings Foundation),description_is,"Operation Red Wings Foundation provides therapeutic Post-Traumatic Growth Program for Service Members (SM)/Vets from all military branches and service eras, along with their families, who are struggling with mild combat trauma, PTSD, mild traumatic brain injury, chronic pain issues and caregiver sStress.Our participants experience:- Accelerated Resolution Therapy- Trauma-Informed Yoga- Group Educational Classes- Alpha-Stim, and moreWe will use multiple therapeutic tools not typically offered by government programs to focus on relief from the symptoms of invisible wounds. At the end of your session, we will help you decide which tools work the best for you and we will help you make a plan for continued healing once you get home.  Our facilities are large, specially-designed houses in Crystal Beach, Texas and Fayetteville, North Carolina taking advantage of peaceful natural environments and designed to make you feel comfortable while encouraging comradery with the other participants.Operation Red Wings Foundation covers all expenses for each program with funds donated by generous sponsors, so there are no costs for those who attend and we will take care of your travel expenses. LSF Program Staff will coordinate with service members, veterans and unit commanders to make travel arrangements. For those who live nearby and drive to the facility, we offer mileage reimbursement.Visit our website to sumbit your online application. Upon receipt, you will be asked to supply a copy of your DD214 and a signed referral form from a healthcare provider stating that this program is appropriate for you at this point in your recovery process. You will then be contacted by our Behavioral Health Coordinator to discuss more details and to schedule your program."
Veterans Crisis Line (Operation Red Wings Foundation),speaks,English
Veterans Crisis Line (Operation Red Wings Foundation),costs,Free
Veterans Crisis Line (Operation Red Wings Foundation),has_Google_Reviews,FALSE
Veterans Crisis Line (Operation Red Wings Foundation),facebook_is,https://www.facebook.com/lonesurvivorfoundation/
Veterans Crisis Line (Operation Red Wings Foundation),twitter_is,https://www.twitter.com/https://twitter.com/LS_Foundation
Veterans Crisis Line (Operation Red Wings Foundation),covers,"This program covers residents of the following states: AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI and WY."
Veterans Crisis Line (Operation Red Wings Foundation),24hours_status_is,FALSE
Veterans Crisis Line (Operation Red Wings Foundation),Monday's_time_open,8:00AM - 17:00PM
Veterans Crisis Line (Operation Red Wings Foundation),Tuesday's_time_open,8:00AM - 17:00PM
Veterans Crisis Line (Operation Red Wings Foundation),Wednesday's_time_open,8:00AM - 17:00PM
Veterans Crisis Line (Operation Red Wings Foundation),Thursday's_time_open,8:00AM - 17:00PM
Veterans Crisis Line (Operation Red Wings Foundation),Friday's_time_open,8:00AM - 17:00PM
Veterans Crisis Line (Operation Red Wings Foundation),Saturday's_time_open,Closed
Veterans Crisis Line (Operation Red Wings Foundation),Sunday's_time_open,Closed
Veterans Crisis Line (Operation Red Wings Foundation),has_a_Google_Rating_of,0
Veterans Crisis Line (Operation Red Wings Foundation),offers,Hotline
Truck Driver Assistance (truckersfinalmile),main_services_are,counseling
Truck Driver Assistance (truckersfinalmile),main_services_are,financial assistance
Truck Driver Assistance (truckersfinalmile),serves,all ages
Truck Driver Assistance (truckersfinalmile),serves,grieving
Truck Driver Assistance (truckersfinalmile),serves,individuals
Truck Driver Assistance (truckersfinalmile),serves,families
Truck Driver Assistance (truckersfinalmile),serves,spouses
Truck Driver Assistance (truckersfinalmile),serves,dependents
Truck Driver Assistance (truckersfinalmile),serves,parents
Truck Driver Assistance (truckersfinalmile),serves,in crisis
Truck Driver Assistance (truckersfinalmile),phone_number_is,888-857-7871
Truck Driver Assistance (truckersfinalmile),website_is,https://www.truckersfinalmile.org/program/
Truck Driver Assistance (truckersfinalmile),eligibility_is,Must be a CDL holder in the course of his/her employment or self employment or an immediate family member of a driver.
Truck Driver Assistance (truckersfinalmile),has_an_availability_status_of,available
Truck Driver Assistance (truckersfinalmile),description_is,"truckersfinalmile provides assistance to North American truck driver's and their families in times of crisis.This program provides:- Help with family reunification- Financial assistance- Grief counselingProgram assistance includes:- Loss of life of a truck driver- Severe injury of a truck driver- Major medical event of a truck driver- Assisting household members of a truck driver- Mobility assistance- Grief counselingThey will verify any request submitted to them for assistance. It is their task to verify within four (4) hours, and their office is staffed 24 hours a day 7 days a week.This program is not designed for someone who is quitting their job, terminated, or abandoning their vehicle."
Truck Driver Assistance (truckersfinalmile),speaks,English
Truck Driver Assistance (truckersfinalmile),costs,Free
Truck Driver Assistance (truckersfinalmile),has_Google_Reviews,FALSE
Truck Driver Assistance (truckersfinalmile),facebook_is,https://www.facebook.com/truckersfinalmile.org
Truck Driver Assistance (truckersfinalmile),twitter_is,https://www.twitter.com/@finalmiledotorg
Truck Driver Assistance (truckersfinalmile),covers,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY."
Truck Driver Assistance (truckersfinalmile),24hours_status_is,TRUE
Truck Driver Assistance (truckersfinalmile),has_a_Google_Rating_of,0
Truck Driver Assistance (truckersfinalmile),offers,Counseling
Trauma REBOOT - Trauma Healing Courses (REBOOT),main_services_are,understand mental health
Trauma REBOOT - Trauma Healing Courses (REBOOT),main_services_are,support network
Trauma REBOOT - Trauma Healing Courses (REBOOT),main_services_are,peer support
Trauma REBOOT - Trauma Healing Courses (REBOOT),main_services_are,virtual support
Trauma REBOOT - Trauma Healing Courses (REBOOT),other_services_are,spiritual support
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,adults 18+
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,active duty
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,veterans
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,grieving
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,individuals
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,families
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,caregivers
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,spouses
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,trauma survivors
Trauma REBOOT - Trauma Healing Courses (REBOOT),serves,ptsd
Trauma REBOOT - Trauma Healing Courses (REBOOT),website_is,https://rebootrecovery.com/traumareboot
Trauma REBOOT - Trauma Healing Courses (REBOOT),eligibility_is,This program helps people who are older than 17 years old.
Trauma REBOOT - Trauma Healing Courses (REBOOT),eligibility_is,This program serves trauma survivors and their families.
Trauma REBOOT - Trauma Healing Courses (REBOOT),has_an_availability_status_of,available
Trauma REBOOT - Trauma Healing Courses (REBOOT),description_is,"REBOOT is a 12-week virtual course that helps people heal from trauma and painful experiences. Using a faith-based approach, REBOOT trauma healing courses are led by everyday people who are turning their own pain into purpose by helping others live well in spite of trauma.This program provides:- Mental health education and support - Virtual peer support network- Virtual trauma support networkThis program also provides:- Spiritual supportREBOOT courses meet once a week for 12 weeks."
Trauma REBOOT - Trauma Healing Courses (REBOOT),speaks,English
